"Source","Target","Weight"
"P","P",0.00430682650755028
"Q","P",0.355725059577789
"R","P",0.341135573611309
"P","Q",0.993823160389407
"Q","Q",0.00304974408585693
"R","Q",0.00224956466140508
"P","R",0.00187001310304277
"Q","R",0.641225196336354
"R","R",0.656614861727286
"P","A",0.00730676529925028
"Q","A",0.383333808755109
"R","A",0.719141021603882
"P","B",0.832200641448146
"Q","B",0.455534244334437
"R","B",0.00129803691690007
"P","C",0.00144212688617613
"Q","C",0.00046224028004949
"R","C",0.278044263414755
"P","D",0.159050466366428
"Q","D",0.160669706630405
"R","D",0.00151667806446253
