"Source","Target","Weight"
"P","P",0.750067448800347
"Q","P",0.233518448064543
"R","P",0.00508086183164326
"P","Q",0.248977454322892
"Q","Q",0.00216527121263991
"R","Q",0.965431706189336
"P","R",0.000955096876761785
"Q","R",0.764316280722817
"R","R",0.0294874319790209
"P","A",0.000575953180999547
"Q","A",0.268720309279543
"R","A",0.850599876305407
"P","B",0.544186250922822
"Q","B",0.21000762701069
"R","B",0.00913411732318751
"P","C",0.450384945567263
"Q","C",0.180644209156882
"R","C",0.0721941307103328
"P","D",0.00485285032891494
"Q","D",0.340627854552885
"R","D",0.0680718756610728
