"hidden_states","worm_model","N2_f1_states","N2_nf4_states","N2_nf5_states","tph1_f6_states"
3,"N2_f1_hmm",178.814844157664,275.047373772148,339.21181896591,250.897906303116
3,"N2_nf4_hmm",238.731534184974,216.487323778562,300.783091558038,214.996270379892
3,"N2_nf5_hmm",247.415100674208,262.314017223124,219.093337203879,280.460046497946
3,"tph1_f6_hmm",219.430048688448,256.514741026239,288.93819131314,168.282383733488
4,"N2_f1_hmm",177.051048006882,350.894344019254,389.2631511917,298.258341655767
4,"N2_nf4_hmm",242.835938666926,215.147921329462,296.733163003154,253.434147679694
4,"N2_nf5_hmm",288.719238391072,286.503041283686,220.163357118566,314.50255393948
4,"tph1_f6_hmm",232.340586691057,262.165304180671,314.802397715099,169.076820983941
5,"N2_f1_hmm",173.308665668079,353.500910457215,378.827681447769,306.114745561962
5,"N2_nf4_hmm",260.155354455227,209.198796473817,334.13501707532,264.262970351146
5,"N2_nf5_hmm",288.579834481364,317.652881708985,214.279049273057,330.002460046862
5,"tph1_f6_hmm",243.68261027283,277.227165192542,333.424149821862,169.200061305081
6,"N2_f1_hmm",170.060387622834,352.756672953252,390.04943691544,316.404800656096
6,"N2_nf4_hmm",279.303901405206,206.349077318577,373.556265044219,267.212490430787
6,"N2_nf5_hmm",304.245708221404,316.990170498354,211.049412317606,330.026748408576
6,"tph1_f6_hmm",262.606410541706,300.853583409677,359.297150963596,167.552376854452
7,"N2_f1_hmm",169.449589199205,355.743884817616,393.584289239953,310.085493033289
7,"N2_nf4_hmm",292.84553025184,200.881185705002,377.351171378214,291.787261655094
7,"N2_nf5_hmm",312.07284746378,343.182451048163,206.043048960625,332.410436361382
7,"tph1_f6_hmm",266.421508462037,302.053492567992,358.675015933206,168.244743959618
8,"N2_f1_hmm",166.793202667174,365.557429765076,400.721162578957,320.192007578083
8,"N2_nf4_hmm",298.190189311027,194.95677806545,393.36991949691,290.216269461075
8,"N2_nf5_hmm",346.58875022116,363.993309158823,204.866489647855,355.763423467561
8,"tph1_f6_hmm",271.745057554952,304.423392430313,368.331290729234,168.69216409088
9,"N2_f1_hmm",166.54756435342,366.040318911596,409.397939168805,321.743042831253
9,"N2_nf4_hmm",307.529455165753,192.874263815531,397.944445678765,296.020956090421
9,"N2_nf5_hmm",334.490745547007,358.552655451241,203.017988732901,344.926650273754
9,"tph1_f6_hmm",281.262077074401,315.009331284028,391.032176045432,168.776531240346
10,"N2_f1_hmm",164.712706426496,369.595095944509,412.550410837219,343.834328064648
10,"N2_nf4_hmm",310.33612983389,191.756653877204,399.535131087743,302.929021523194
10,"N2_nf5_hmm",352.048879774915,373.983063678091,200.632193259076,359.31835718414
10,"tph1_f6_hmm",286.913723205361,322.453345000525,399.936578022644,170.954287813208
