"Source","Target","Weight"
"P","P",0.616030767942528
"Q","P",0.205434842535532
"R","P",0.0371624655140129
"P","Q",0.310056827319971
"Q","Q",0.794189129024327
"R","Q",0.000716059360947239
"P","R",0.0739124047375007
"Q","R",0.000376028440141741
"R","R",0.96212147512504
"P","A",0.0201074763849658
"Q","A",0.750330913632993
"R","A",0.0286705381866862
"P","B",0.974225340630865
"Q","B",0.00988985460772496
"R","B",0.191221484227157
"P","C",0.00161864646727961
"Q","C",0.102930720338529
"R","C",0.779811033181973
"P","D",0.00404853651688939
"Q","D",0.136848511420753
"R","D",0.000296944404184257
